Id Empenho;Codigo Empenho;Codigo Empenho Resumido;Data Emissao;Codigo Tipo Documento;Tipo Documento;Tipo Empenho;Especie Empenho;Codigo orgao Superior;orgao superior;Codigo orgao;orgao;Codigo Unidade Gestora;Unidade Gestora;codigo gestao;gestao;Codigo Favorecido;Favorecido;Observa??o;Codigo Esfera orcamentaria;Esfera orcamentaria;Codigo Tipo Credito;Tipo Credito;Codigo Grupo Fonte Recurso;Grupo Fonte Recurso;Codigo Fonte Recurso;Fonte Recurso;C?Ådigo Unidade Or?Ñament?–ria;Unidade Or?Ñament?–ria;C?Ådigo Fun?Ñ??o;Fun?Ñ??o;C?Ådigo SubFun?Ñ??o;SubFun?Ñ??o;C?Ådigo Programa;Programa;C?Ådigo A?Ñ??o;A?Ñ??o;Linguagem Cidad??;C?Ådigo Subt?—tulo (Localizador);Subt?—tulo (Localizador);C?Ådigo Plano Or?Ñament?–rio;Plano Or?Ñament?–rio;C?Ådigo Programa Governo;Nome Programa Governo;Autor Emenda;C?Ådigo Categoria de Despesa;Categoria de Despesa;C?Ådigo Grupo de Despesa;Grupo de Despesa;C?Ådigo Modalidade de Aplica?Ñ??o;Modalidade de Aplica?Ñ??o;C?Ådigo Elemento de Despesa;Elemento de Despesa;Processo;Modalidade de Licita?Ñ??o;Inciso;Amparo;Refer?Ìncia de Dispensa ou Inexigibilidade;C?Ådigo Conv?Ìnio;Contrato de Repasse / Termo de Parceria / Outros;Valor Original do Empenho;Valor do Empenho Convertido pra R$;Valor Utilizado na Convers??o
565683160;250030000012026NE000012;2026NE000012;01/01/2026;NE;Nota de Empenho;Estimativo;N??o se aplica;36000;ministerio da saude;36000;Minist?ˆrio da Sa?‰de - Unidades com v?—nculo;250030;SUPERINTENDENCIA DO MINISTERIO DA SAUDE / PI;1;TESOURO NACIONAL;8,64E+12;CET-SEG SEGURANCA ARMADA LTDA;;2;Or?Ñamento da Seguridade Social;A;INICIAL (LOA);1;Recursos Do Tesouro - Exercicio Corrente;0;RECURSOS ORDINARIOS;36901;FUNDO NACIONAL DE SAUDE;10;Sa?‰de;122;Administra?Ñ??o geral;32;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;2000;ADMINISTRACAO DA UNIDADE;Administra?Ñ??o de unidade;20000001;ADMINISTRACAO DA UNIDADE       - NACIONAL;6;MANUTENCAO ADMINISTRATIVA - NUCLEOS ESTADUAIS;0;Sem informa?Ñ??o;SEM EMENDA;3;DESPESAS CORRENTES;3;Outras Despesas Correntes;90;Aplica?Ñ??es Diretas;37;Loca?Ñ??o de M??o-de-Obra;25015.000145/2023-77;Preg??o;SI;DECRETO 10.024/2019;-2;-1;NAO SE APLICA;52410,02;52410,02;1
565754242;250030000012026NE000022;2026NE000022;01/01/2026;NE;Nota de Empenho;Estimativo;N??o se aplica;36000;ministerio da saude;36000;Minist?ˆrio da Sa?‰de - Unidades com v?—nculo;250030;SUPERINTENDENCIA DO MINISTERIO DA SAUDE / PI;1;TESOURO NACIONAL;6,84E+12;EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A;;2;Or?Ñamento da Seguridade Social;A;INICIAL (LOA);1;Recursos Do Tesouro - Exercicio Corrente;0;RECURSOS ORDINARIOS;36901;FUNDO NACIONAL DE SAUDE;10;Sa?‰de;122;Administra?Ñ??o geral;32;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;2000;ADMINISTRACAO DA UNIDADE;Administra?Ñ??o de unidade;20000001;ADMINISTRACAO DA UNIDADE       - NACIONAL;6;MANUTENCAO ADMINISTRATIVA - NUCLEOS ESTADUAIS;0;Sem informa?Ñ??o;SEM EMENDA;3;DESPESAS CORRENTES;3;Outras Despesas Correntes;90;Aplica?Ñ??es Diretas;47;Obriga?Ñ??es Tribut?–rias e Contributivas;25015.000145/2023-77;Inexig?—vel;I;LEI 14.133/2021;-2;-1;NAO SE APLICA;1221,02;1221,02;1
565723324;250030000012026NE000011;2026NE000011;01/01/2026;NE;Nota de Empenho;Estimativo;N??o se aplica;36000;ministerio da saude;36000;Minist?ˆrio da Sa?‰de - Unidades com v?—nculo;250030;SUPERINTENDENCIA DO MINISTERIO DA SAUDE / PI;1;TESOURO NACIONAL;6,84E+12;EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A;;2;Or?Ñamento da Seguridade Social;A;INICIAL (LOA);1;Recursos Do Tesouro - Exercicio Corrente;0;RECURSOS ORDINARIOS;36901;FUNDO NACIONAL DE SAUDE;10;Sa?‰de;122;Administra?Ñ??o geral;32;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;2000;ADMINISTRACAO DA UNIDADE;Administra?Ñ??o de unidade;20000001;ADMINISTRACAO DA UNIDADE       - NACIONAL;6;MANUTENCAO ADMINISTRATIVA - NUCLEOS ESTADUAIS;0;Sem informa?Ñ??o;SEM EMENDA;3;DESPESAS CORRENTES;3;Outras Despesas Correntes;90;Aplica?Ñ??es Diretas;39;Outros Servi?Ños de Terceiros - Pessoa Jur?—d;25015.000447/2024-26;Inexig?—vel;I;LEI 14.133/2021;-2;-1;NAO SE APLICA;30911,9;30911,9;1
565689739;250030000012026NE000005;2026NE000005;01/01/2026;NE;Nota de Empenho;Estimativo;N??o se aplica;36000;ministerio da saude;36000;Minist?ˆrio da Sa?‰de - Unidades com v?—nculo;250030;SUPERINTENDENCIA DO MINISTERIO DA SAUDE / PI;1;TESOURO NACIONAL;7,13E+12;DUO TELECOM LTDA;;2;Or?Ñamento da Seguridade Social;A;INICIAL (LOA);1;Recursos Do Tesouro - Exercicio Corrente;0;RECURSOS ORDINARIOS;36901;FUNDO NACIONAL DE SAUDE;10;Sa?‰de;122;Administra?Ñ??o geral;32;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;2000;ADMINISTRACAO DA UNIDADE;Administra?Ñ??o de unidade;20000001;ADMINISTRACAO DA UNIDADE       - NACIONAL;6;MANUTENCAO ADMINISTRATIVA - NUCLEOS ESTADUAIS;0;Sem informa?Ñ??o;SEM EMENDA;3;DESPESAS CORRENTES;3;Outras Despesas Correntes;90;Aplica?Ñ??es Diretas;40;Servi?Ños de Tecnologia da Informa?Ñ??o e Com;25015.000690/2022-82;Preg??o;SI;LEI 10.520 / 2002;-2;-1;NAO SE APLICA;8550;8550;1
565700629;250030000012026NE000009;2026NE000009;01/01/2026;NE;Nota de Empenho;Estimativo;N??o se aplica;36000;ministerio da saude;36000;Minist?ˆrio da Sa?‰de - Unidades com v?—nculo;250030;SUPERINTENDENCIA DO MINISTERIO DA SAUDE / PI;1;TESOURO NACIONAL;2,31E+13;ICP ELEVADORES SERVICOS E COMERCIO LTDA;;2;Or?Ñamento da Seguridade Social;A;INICIAL (LOA);1;Recursos Do Tesouro - Exercicio Corrente;0;RECURSOS ORDINARIOS;36901;FUNDO NACIONAL DE SAUDE;10;Sa?‰de;122;Administra?Ñ??o geral;32;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;2000;ADMINISTRACAO DA UNIDADE;Administra?Ñ??o de unidade;20000001;ADMINISTRACAO DA UNIDADE       - NACIONAL;6;MANUTENCAO ADMINISTRATIVA - NUCLEOS ESTADUAIS;0;Sem informa?Ñ??o;SEM EMENDA;3;DESPESAS CORRENTES;3;Outras Despesas Correntes;90;Aplica?Ñ??es Diretas;39;Outros Servi?Ños de Terceiros - Pessoa Jur?—d;25015.000038/2024-20;Preg??o;I;LEI 14.133/2021;-2;-1;NAO SE APLICA;2626,44;2626,44;1
565713647;250030000012026NE000010;2026NE000010;01/01/2026;NE;Nota de Empenho;Estimativo;N??o se aplica;36000;ministerio da saude;36000;Minist?ˆrio da Sa?‰de - Unidades com v?—nculo;250030;SUPERINTENDENCIA DO MINISTERIO DA SAUDE / PI;1;TESOURO NACIONAL;5,31E+12;PHOCUS SERVICOS E REPRESENTACOES LTDA;;2;Or?Ñamento da Seguridade Social;A;INICIAL (LOA);1;Recursos Do Tesouro - Exercicio Corrente;0;RECURSOS ORDINARIOS;36901;FUNDO NACIONAL DE SAUDE;10;Sa?‰de;122;Administra?Ñ??o geral;32;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;2000;ADMINISTRACAO DA UNIDADE;Administra?Ñ??o de unidade;20000001;ADMINISTRACAO DA UNIDADE       - NACIONAL;6;MANUTENCAO ADMINISTRATIVA - NUCLEOS ESTADUAIS;0;Sem informa?Ñ??o;SEM EMENDA;3;DESPESAS CORRENTES;3;Outras Despesas Correntes;90;Aplica?Ñ??es Diretas;40;Servi?Ños de Tecnologia da Informa?Ñ??o e Com;25015.000212/2024-34;Preg??o;II;LEI 14.981/2024;-2;-1;NAO SE APLICA;15072,49;15072,49;1
565699707;250025000012026NE000019;2026NE000019;01/01/2026;NE;Nota de Empenho;Estimativo;N??o se aplica;36000;ministerio da saude;36000;Minist?ˆrio da Sa?‰de - Unidades com v?—nculo;250025;SUPERINTENDENCIA DO MINISTERIO DA SAUDE / MG;1;TESOURO NACIONAL;3,40E+13;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;;2;Or?Ñamento da Seguridade Social;A;INICIAL (LOA);1;Recursos Do Tesouro - Exercicio Corrente;0;RECURSOS ORDINARIOS;36901;FUNDO NACIONAL DE SAUDE;10;Sa?‰de;122;Administra?Ñ??o geral;32;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;2000;ADMINISTRACAO DA UNIDADE;Administra?Ñ??o de unidade;20000001;ADMINISTRACAO DA UNIDADE       - NACIONAL;6;MANUTENCAO ADMINISTRATIVA - NUCLEOS ESTADUAIS;0;Sem informa?Ñ??o;SEM EMENDA;3;DESPESAS CORRENTES;3;Outras Despesas Correntes;90;Aplica?Ñ??es Diretas;39;Outros Servi?Ños de Terceiros - Pessoa Jur?—d;25003.000912/2025-49;Inexig?—vel;CAPUT;LEI 14.133/2021;-2;-1;NAO SE APLICA;10000,17;10000,17;1
565683972;250025000012026NE000010;2026NE000010;01/01/2026;NE;Nota de Empenho;Estimativo;N??o se aplica;36000;ministerio da saude;36000;Minist?ˆrio da Sa?‰de - Unidades com v?—nculo;250025;SUPERINTENDENCIA DO MINISTERIO DA SAUDE / MG;1;TESOURO NACIONAL;6,95E+11;PERTINA LOGISTICA LTDA;;2;Or?Ñamento da Seguridade Social;A;INICIAL (LOA);1;Recursos Do Tesouro - Exercicio Corrente;0;RECURSOS ORDINARIOS;36901;FUNDO NACIONAL DE SAUDE;10;Sa?‰de;122;Administra?Ñ??o geral;32;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;2000;ADMINISTRACAO DA UNIDADE;Administra?Ñ??o de unidade;20000001;ADMINISTRACAO DA UNIDADE       - NACIONAL;6;MANUTENCAO ADMINISTRATIVA - NUCLEOS ESTADUAIS;0;Sem informa?Ñ??o;SEM EMENDA;3;DESPESAS CORRENTES;3;Outras Despesas Correntes;90;Aplica?Ñ??es Diretas;33;Passagens e Despesas com Locomo?Ñ??o;25003.000362/2025-68;Preg??o;I;LEI 14.133/2021;-2;-1;NAO SE APLICA;74999,24;74999,24;1
565747139;250025000012026NE000009;2026NE000009;01/01/2026;NE;Nota de Empenho;Estimativo;N??o se aplica;36000;ministerio da saude;36000;Minist?ˆrio da Sa?‰de - Unidades com v?—nculo;250025;SUPERINTENDENCIA DO MINISTERIO DA SAUDE / MG;1;TESOURO NACIONAL;1,17E+13;I9 SOLUTIONS - SOLUCOES COMERCIAIS E GESTAO DE TRANSPO;;2;Or?Ñamento da Seguridade Social;A;INICIAL (LOA);1;Recursos Do Tesouro - Exercicio Corrente;0;RECURSOS ORDINARIOS;36901;FUNDO NACIONAL DE SAUDE;10;Sa?‰de;122;Administra?Ñ??o geral;32;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;2000;ADMINISTRACAO DA UNIDADE;Administra?Ñ??o de unidade;20000001;ADMINISTRACAO DA UNIDADE       - NACIONAL;6;MANUTENCAO ADMINISTRATIVA - NUCLEOS ESTADUAIS;0;Sem informa?Ñ??o;SEM EMENDA;3;DESPESAS CORRENTES;3;Outras Despesas Correntes;90;Aplica?Ñ??es Diretas;33;Passagens e Despesas com Locomo?Ñ??o;25003.000567/2023-81;Preg??o;SI;LEI 10.520 / 2002;-2;-1;NAO SE APLICA;6500;6500;1
565738787;250025000012026NE000021;2026NE000021;01/01/2026;NE;Nota de Empenho;Estimativo;N??o se aplica;36000;ministerio da saude;36000;Minist?ˆrio da Sa?‰de - Unidades com v?—nculo;250025;SUPERINTENDENCIA DO MINISTERIO DA SAUDE / MG;1;TESOURO NACIONAL;3,92E+12;RCE COMERCIO DE EQUIPAMENTOS DE TELEMATICA LTDA;;2;Or?Ñamento da Seguridade Social;A;INICIAL (LOA);1;Recursos Do Tesouro - Exercicio Corrente;0;RECURSOS ORDINARIOS;36901;FUNDO NACIONAL DE SAUDE;10;Sa?‰de;122;Administra?Ñ??o geral;32;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;2000;ADMINISTRACAO DA UNIDADE;Administra?Ñ??o de unidade;20000001;ADMINISTRACAO DA UNIDADE       - NACIONAL;6;MANUTENCAO ADMINISTRATIVA - NUCLEOS ESTADUAIS;0;Sem informa?Ñ??o;SEM EMENDA;3;DESPESAS CORRENTES;3;Outras Despesas Correntes;90;Aplica?Ñ??es Diretas;39;Outros Servi?Ños de Terceiros - Pessoa Jur?—d;25003.001192/2023-77;Dispensa de Licita?Ñ??o;II;LEI 14.133 / 2021;-2;-1;NAO SE APLICA;12000,08;12000,08;1
